asset_id,asset_type,latitude,longitude,neighbourhood,ward,service_district,service_frequency,service_pressure_score,data_quality_risk_score,governance_maturity_score,access_risk_level,ai_readiness_score,stale_days,open_issue_count,risk_index,risk_tier,color_r,color_g,color_b,color_a,last_updated
ASSET-00040,Litter Bin,43.597015,-79.60282,Scarborough Village,Ward 19,North District,2x weekly,100,0,85,Medium,81,0,1,48.0,Moderate,255,193,7,170,2026-04-26
ASSET-00041,Litter Bin,43.767099,-79.520722,North York Centre,Ward 18,North District,2x weekly,52,61,75,Low,52,4,2,46.0,Moderate,255,193,7,170,2026-04-22
ASSET-00042,Container,43.714346,-79.326782,Danforth East York,Ward 22,West District,2x weekly,46,42,74,Medium,55,20,0,44.4,Moderate,255,193,7,170,2026-04-06
ASSET-00043,Park Waste Bin,43.690963,-79.58391,Scarborough Village,Ward 23,East District,On demand,19,42,62,High,53,77,0,54.5,Moderate,255,193,7,170,2026-02-08
ASSET-00044,Public Realm Asset,43.625981,-79.504888,York University Heights,Ward 24,North District,On demand,72,57,53,Low,43,32,0,55.7,High,255,127,14,190,2026-03-25
ASSET-00045,Container,43.809619,-79.280567,Waterfront Communities,Ward 10,East District,3x weekly,99,46,52,High,46,79,0,85.9,Critical,214,39,40,210,2026-02-06
ASSET-00046,Container,43.671874,-79.271391,York University Heights,Ward 11,South District,Weekly,100,60,48,Medium,45,26,3,80.7,Critical,214,39,40,210,2026-03-31
ASSET-00047,Container,43.703072,-79.402203,Agincourt South,Ward 24,North District,Daily,71,55,58,Medium,39,42,2,67.0,High,255,127,14,190,2026-03-15
ASSET-00048,Container,43.736072,-79.59916,Danforth East York,Ward 3,North District,2x weekly,56,10,100,Medium,88,0,1,32.6,Low,44,160,44,160,2026-04-26
ASSET-00049,Recycling Bin,43.7415,-79.54505,Waterfront Communities,Ward 2,North District,Weekly,92,6,93,Low,72,45,3,47.0,Moderate,255,193,7,170,2026-03-12
ASSET-00050,Public Realm Asset,43.806253,-79.355282,Scarborough Village,Ward 21,North District,Weekly,66,24,75,High,54,30,3,63.0,High,255,127,14,190,2026-03-27
ASSET-00051,Recycling Bin,43.806537,-79.442393,York University Heights,Ward 23,West District,Daily,95,10,100,Medium,75,0,1,46.2,Moderate,255,193,7,170,2026-04-26
ASSET-00052,Container,43.784321,-79.609295,Agincourt South,Ward 2,North District,Daily,67,24,70,Medium,55,26,0,47.9,Moderate,255,193,7,170,2026-03-31
ASSET-00053,Container,43.734657,-79.216363,North York Centre,Ward 20,East District,Weekly,49,56,80,Medium,57,18,0,48.2,Moderate,255,193,7,170,2026-04-08
ASSET-00054,Public Realm Asset,43.762641,-79.248856,North York Centre,Ward 15,North District,Weekly,79,51,59,High,51,23,3,78.0,Critical,214,39,40,210,2026-04-03
ASSET-00055,Park Waste Bin,43.668385,-79.191852,North York Centre,Ward 16,North District,2x weekly,61,40,95,Medium,62,22,0,45.1,Moderate,255,193,7,170,2026-04-04
ASSET-00056,Recycling Bin,43.613718,-79.204826,High Park North,Ward 11,East District,On demand,57,62,88,Medium,53,75,0,58.3,High,255,127,14,190,2026-02-10
ASSET-00057,Recycling Bin,43.679516,-79.615015,Scarborough Village,Ward 23,North District,3x weekly,89,38,85,Low,55,33,0,49.7,Moderate,255,193,7,170,2026-03-24
ASSET-00058,Park Waste Bin,43.735323,-79.413715,North York Centre,Ward 15,South District,Daily,68,35,75,Low,61,67,1,49.7,Moderate,255,193,7,170,2026-02-18
ASSET-00059,Public Realm Asset,43.772063,-79.256776,Etobicoke Centre,Ward 23,West District,On demand,40,11,93,Low,78,75,3,34.1,Low,44,160,44,160,2026-02-10
ASSET-00060,Park Waste Bin,43.691552,-79.211656,High Park North,Ward 25,South District,Weekly,61,18,75,Medium,54,19,1,44.1,Moderate,255,193,7,170,2026-04-07
ASSET-00061,Container,43.73219,-79.573484,Kensington Chinatown,Ward 16,North District,2x weekly,44,30,81,High,69,23,2,53.1,Moderate,255,193,7,170,2026-04-03
ASSET-00062,Public Realm Asset,43.609513,-79.166146,Danforth East York,Ward 22,South District,3x weekly,67,26,65,Medium,47,53,1,54.9,Moderate,255,193,7,170,2026-03-04
ASSET-00063,Container,43.768744,-79.363134,Waterfront Communities,Ward 13,West District,Daily,31,7,61,Medium,71,36,0,33.2,Low,44,160,44,160,2026-03-21
ASSET-00064,Recycling Bin,43.592611,-79.404416,Waterfront Communities,Ward 9,South District,2x weekly,80,34,73,Medium,61,6,0,52.4,Moderate,255,193,7,170,2026-04-20
ASSET-00065,Park Waste Bin,43.8113,-79.44756,Scarborough Village,Ward 9,South District,2x weekly,68,19,82,Low,67,103,1,48.0,Moderate,255,193,7,170,2026-01-13
ASSET-00066,Container,43.606973,-79.365227,Waterfront Communities,Ward 12,North District,Daily,76,29,77,Low,51,45,1,47.5,Moderate,255,193,7,170,2026-03-12
ASSET-00067,Recycling Bin,43.694544,-79.331323,Kensington Chinatown,Ward 1,North District,3x weekly,62,48,98,Low,54,81,3,52.6,Moderate,255,193,7,170,2026-02-04
ASSET-00068,Container,43.653798,-79.533464,Kensington Chinatown,Ward 15,East District,2x weekly,80,42,100,Low,60,14,1,44.4,Moderate,255,193,7,170,2026-04-12
ASSET-00069,Litter Bin,43.814111,-79.166343,Annex,Ward 10,West District,On demand,17,26,61,Low,64,50,1,29.8,Low,44,160,44,160,2026-03-07
ASSET-00070,Public Realm Asset,43.747488,-79.545196,Scarborough Village,Ward 23,North District,Daily,69,79,90,Low,57,23,0,52.7,Moderate,255,193,7,170,2026-04-03
ASSET-00071,Recycling Bin,43.817074,-79.550808,Downtown Yonge East,Ward 23,East District,On demand,34,78,94,High,62,27,2,61.9,High,255,127,14,190,2026-03-30
ASSET-00072,Litter Bin,43.685408,-79.494233,Danforth East York,Ward 18,South District,2x weekly,26,67,72,Low,53,92,3,52.3,Moderate,255,193,7,170,2026-01-24
ASSET-00073,Park Waste Bin,43.693625,-79.560587,Waterfront Communities,Ward 14,South District,Daily,62,39,66,Low,63,68,1,50.7,Moderate,255,193,7,170,2026-02-17
ASSET-00074,Public Realm Asset,43.732169,-79.455245,Flemingdon Park,Ward 5,South District,3x weekly,64,49,86,Medium,68,2,0,48.1,Moderate,255,193,7,170,2026-04-24
ASSET-00075,Container,43.709638,-79.227997,North York Centre,Ward 25,South District,Weekly,68,21,100,High,72,49,2,58.2,High,255,127,14,190,2026-03-08
ASSET-00076,Park Waste Bin,43.620824,-79.60676,Danforth East York,Ward 8,West District,2x weekly,100,76,69,Medium,49,81,3,88.1,Critical,214,39,40,210,2026-02-04
ASSET-00077,Container,43.621365,-79.613309,Etobicoke Centre,Ward 22,South District,2x weekly,75,68,57,Medium,42,71,0,72.1,High,255,127,14,190,2026-02-14
ASSET-00078,Recycling Bin,43.797956,-79.459802,Agincourt South,Ward 7,East District,2x weekly,84,0,53,Low,60,0,1,40.8,Moderate,255,193,7,170,2026-04-26
ASSET-00079,Park Waste Bin,43.788344,-79.183221,North York Centre,Ward 1,North District,Daily,93,39,100,Medium,77,0,0,52.2,Moderate,255,193,7,170,2026-04-26
ASSET-00080,Public Realm Asset,43.703302,-79.468774,North York Centre,Ward 25,North District,Weekly,26,36,80,Low,63,43,2,33.3,Low,44,160,44,160,2026-03-14
ASSET-00081,Litter Bin,43.631832,-79.460993,High Park North,Ward 8,South District,3x weekly,34,52,80,Medium,44,9,1,42.6,Moderate,255,193,7,170,2026-04-17
ASSET-00082,Park Waste Bin,43.634226,-79.6012,Agincourt South,Ward 18,East District,Weekly,60,59,57,Medium,50,64,2,67.3,High,255,127,14,190,2026-02-21
ASSET-00083,Public Realm Asset,43.637457,-79.452436,High Park North,Ward 10,East District,3x weekly,50,20,72,High,63,5,0,47.7,Moderate,255,193,7,170,2026-04-21
ASSET-00084,Park Waste Bin,43.790923,-79.196399,Downtown Yonge East,Ward 24,North District,3x weekly,100,38,62,Low,47,53,2,64.6,High,255,127,14,190,2026-03-04
ASSET-00085,Park Waste Bin,43.63244,-79.523699,Flemingdon Park,Ward 19,East District,Daily,59,33,84,Low,68,73,2,46.9,Moderate,255,193,7,170,2026-02-12
ASSET-00086,Park Waste Bin,43.696383,-79.276163,Annex,Ward 10,West District,On demand,56,0,48,Low,55,96,0,42.0,Moderate,255,193,7,170,2026-01-20
ASSET-00087,Litter Bin,43.61465,-79.41419,North York Centre,Ward 10,North District,Weekly,74,44,100,Low,57,87,0,50.0,Moderate,255,193,7,170,2026-01-29
ASSET-00088,Container,43.594616,-79.471844,High Park North,Ward 16,South District,Weekly,28,42,61,Low,39,0,3,36.2,Moderate,255,193,7,170,2026-04-26
ASSET-00089,Park Waste Bin,43.771509,-79.390717,Agincourt South,Ward 4,West District,Weekly,48,14,100,Medium,68,78,0,38.8,Moderate,255,193,7,170,2026-02-07
ASSET-00090,Litter Bin,43.689282,-79.561313,Annex,Ward 5,East District,Daily,63,19,99,Medium,82,65,0,44.1,Moderate,255,193,7,170,2026-02-20
ASSET-00091,Public Realm Asset,43.671902,-79.166203,Etobicoke Centre,Ward 20,North District,On demand,43,7,89,Low,81,117,0,33.3,Low,44,160,44,160,2025-12-30
ASSET-00092,Park Waste Bin,43.63291,-79.488856,Etobicoke Centre,Ward 14,East District,On demand,32,50,62,Medium,51,26,1,47.0,Moderate,255,193,7,170,2026-03-31
ASSET-00093,Litter Bin,43.615769,-79.436986,Kensington Chinatown,Ward 21,North District,2x weekly,63,19,78,High,74,43,0,55.5,High,255,127,14,190,2026-03-14
ASSET-00094,Recycling Bin,43.803756,-79.363889,North York Centre,Ward 3,North District,Daily,49,54,82,Low,52,7,0,37.8,Moderate,255,193,7,170,2026-04-19
ASSET-00095,Public Realm Asset,43.664446,-79.424299,High Park North,Ward 2,North District,2x weekly,26,49,62,Medium,56,66,1,49.6,Moderate,255,193,7,170,2026-02-19
ASSET-00096,Litter Bin,43.656385,-79.35263,York University Heights,Ward 8,East District,On demand,27,39,78,Medium,62,10,2,38.8,Moderate,255,193,7,170,2026-04-16
ASSET-00097,Container,43.667419,-79.558169,Kensington Chinatown,Ward 21,North District,2x weekly,60,11,62,Low,54,46,1,39.7,Moderate,255,193,7,170,2026-03-11
ASSET-00098,Recycling Bin,43.764852,-79.346006,High Park North,Ward 20,East District,Weekly,83,25,88,Low,58,2,0,39.2,Moderate,255,193,7,170,2026-04-24
ASSET-00099,Public Realm Asset,43.781042,-79.176088,High Park North,Ward 17,South District,Weekly,10,20,83,Low,66,37,1,19.5,Low,44,160,44,160,2026-03-20
ASSET-00100,Public Realm Asset,43.722129,-79.232759,Flemingdon Park,Ward 11,East District,Daily,69,24,75,Low,53,39,1,43.2,Moderate,255,193,7,170,2026-03-18
ASSET-00101,Container,43.627781,-79.245296,Waterfront Communities,Ward 25,East District,On demand,69,28,65,Low,64,28,0,43.0,Moderate,255,193,7,170,2026-03-29
ASSET-00102,Public Realm Asset,43.680262,-79.244364,North York Centre,Ward 21,South District,2x weekly,68,83,88,Low,42,32,3,61.1,High,255,127,14,190,2026-03-25
ASSET-00103,Public Realm Asset,43.76195,-79.388749,Downtown Yonge East,Ward 16,East District,Weekly,19,15,42,Low,53,31,1,28.6,Low,44,160,44,160,2026-03-26
ASSET-00104,Recycling Bin,43.798489,-79.332851,Danforth East York,Ward 14,South District,2x weekly,68,33,88,Medium,58,0,0,44.1,Moderate,255,193,7,170,2026-04-26
ASSET-00105,Litter Bin,43.732617,-79.374608,Agincourt South,Ward 3,East District,2x weekly,30,63,79,Medium,57,29,3,51.2,Moderate,255,193,7,170,2026-03-28
ASSET-00106,Container,43.647153,-79.277785,Waterfront Communities,Ward 22,South District,Weekly,65,43,66,Medium,53,12,0,52.0,Moderate,255,193,7,170,2026-04-14
ASSET-00107,Park Waste Bin,43.668679,-79.242222,Etobicoke Centre,Ward 25,South District,Weekly,63,27,82,Low,70,57,0,40.9,Moderate,255,193,7,170,2026-02-28
ASSET-00108,Container,43.642728,-79.287764,Annex,Ward 10,South District,Weekly,56,16,66,Low,59,59,0,38.6,Moderate,255,193,7,170,2026-02-26
ASSET-00109,Container,43.647914,-79.46098,Kensington Chinatown,Ward 23,North District,2x weekly,80,67,81,Low,60,116,0,65.9,High,255,127,14,190,2025-12-31
ASSET-00110,Public Realm Asset,43.625271,-79.350334,Downtown Yonge East,Ward 8,West District,Weekly,24,70,85,High,57,42,0,55.6,High,255,127,14,190,2026-03-15
ASSET-00111,Public Realm Asset,43.75023,-79.19565,Flemingdon Park,Ward 10,East District,Weekly,100,40,75,Low,50,72,2,65.0,High,255,127,14,190,2026-02-13
ASSET-00112,Public Realm Asset,43.68755,-79.281236,North York Centre,Ward 5,South District,3x weekly,45,48,100,Medium,62,96,1,52.1,Moderate,255,193,7,170,2026-01-20
ASSET-00113,Litter Bin,43.725993,-79.436459,High Park North,Ward 25,South District,2x weekly,41,35,74,High,52,86,1,60.8,High,255,127,14,190,2026-01-30
ASSET-00114,Park Waste Bin,43.713601,-79.196866,Flemingdon Park,Ward 10,South District,3x weekly,58,28,56,High,42,0,0,55.5,High,255,127,14,190,2026-04-26
ASSET-00115,Park Waste Bin,43.641659,-79.411878,Danforth East York,Ward 18,South District,Weekly,34,9,68,Medium,69,108,1,44.5,Moderate,255,193,7,170,2026-01-08
ASSET-00116,Recycling Bin,43.800415,-79.453299,Etobicoke Centre,Ward 13,North District,Weekly,56,32,28,Medium,34,42,3,62.8,High,255,127,14,190,2026-03-15
ASSET-00117,Public Realm Asset,43.60963,-79.161438,Scarborough Village,Ward 22,North District,Weekly,100,62,69,Low,51,2,0,60.0,High,255,127,14,190,2026-04-24
ASSET-00118,Container,43.638278,-79.206895,Danforth East York,Ward 4,South District,Daily,100,39,74,Low,62,44,0,57.4,High,255,127,14,190,2026-03-13
ASSET-00119,Recycling Bin,43.719913,-79.589774,Scarborough Village,Ward 21,North District,Daily,49,25,73,High,51,24,1,53.0,Moderate,255,193,7,170,2026-04-02
ASSET-00120,Park Waste Bin,43.682176,-79.362565,Etobicoke Centre,Ward 23,South District,Daily,56,71,28,Medium,22,86,3,80.0,Critical,214,39,40,210,2026-01-30
ASSET-00121,Public Realm Asset,43.73812,-79.431982,Danforth East York,Ward 21,South District,On demand,54,29,50,Medium,56,15,3,53.5,Moderate,255,193,7,170,2026-04-11
ASSET-00122,Recycling Bin,43.594533,-79.57211,York University Heights,Ward 22,East District,3x weekly,81,65,86,Low,44,2,1,52.9,Moderate,255,193,7,170,2026-04-24
ASSET-00123,Litter Bin,43.612872,-79.508141,Agincourt South,Ward 6,East District,Daily,50,48,53,Low,37,72,1,52.3,Moderate,255,193,7,170,2026-02-13
ASSET-00124,Park Waste Bin,43.74366,-79.525707,Danforth East York,Ward 12,South District,3x weekly,76,47,67,Low,41,89,0,58.4,High,255,127,14,190,2026-01-27
ASSET-00125,Container,43.686928,-79.209371,York University Heights,Ward 6,North District,3x weekly,74,31,79,Low,64,0,1,41.4,Moderate,255,193,7,170,2026-04-26
ASSET-00126,Container,43.725768,-79.496691,York University Heights,Ward 8,South District,On demand,51,61,62,Low,45,0,1,45.8,Moderate,255,193,7,170,2026-04-26
ASSET-00127,Park Waste Bin,43.657727,-79.183711,Agincourt South,Ward 9,West District,Weekly,35,76,38,Low,31,109,0,61.1,High,255,127,14,190,2026-01-07
ASSET-00128,Recycling Bin,43.795747,-79.252067,Downtown Yonge East,Ward 15,East District,On demand,50,46,73,Medium,60,86,2,59.4,High,255,127,14,190,2026-01-30
ASSET-00129,Park Waste Bin,43.7357,-79.501372,Agincourt South,Ward 10,North District,Weekly,54,36,79,Medium,62,0,2,45.9,Moderate,255,193,7,170,2026-04-26
ASSET-00130,Public Realm Asset,43.629486,-79.494739,Etobicoke Centre,Ward 12,East District,2x weekly,65,33,74,Medium,55,58,0,53.1,Moderate,255,193,7,170,2026-02-27
ASSET-00131,Park Waste Bin,43.739827,-79.238319,Waterfront Communities,Ward 19,West District,On demand,66,16,80,Low,69,0,3,37.9,Moderate,255,193,7,170,2026-04-26
ASSET-00132,Recycling Bin,43.630335,-79.199371,Etobicoke Centre,Ward 12,North District,3x weekly,67,59,100,Medium,60,83,3,65.5,High,255,127,14,190,2026-02-02
ASSET-00133,Litter Bin,43.628245,-79.280505,York University Heights,Ward 21,West District,2x weekly,23,9,63,High,56,45,0,41.8,Moderate,255,193,7,170,2026-03-12
ASSET-00134,Park Waste Bin,43.6564,-79.456391,Flemingdon Park,Ward 5,West District,2x weekly,65,21,63,Medium,66,0,0,44.5,Moderate,255,193,7,170,2026-04-26
ASSET-00135,Recycling Bin,43.742644,-79.189058,Kensington Chinatown,Ward 5,East District,On demand,41,61,57,Medium,44,145,2,67.2,High,255,127,14,190,2025-12-02
ASSET-00136,Park Waste Bin,43.704164,-79.345452,Agincourt South,Ward 10,East District,Daily,43,53,64,High,42,49,0,62.3,High,255,127,14,190,2026-03-08
ASSET-00137,Recycling Bin,43.748333,-79.419979,York University Heights,Ward 24,South District,On demand,86,22,73,Medium,56,112,0,64.1,High,255,127,14,190,2026-01-04
ASSET-00138,Litter Bin,43.652593,-79.348494,High Park North,Ward 18,West District,Weekly,76,25,84,Medium,68,81,0,55.4,High,255,127,14,190,2026-02-04
ASSET-00139,Container,43.632581,-79.370726,Scarborough Village,Ward 21,East District,Daily,46,32,72,Medium,56,68,2,51.8,Moderate,255,193,7,170,2026-02-17
ASSET-00140,Container,43.749224,-79.22937,North York Centre,Ward 11,North District,Daily,69,51,83,Low,46,86,1,55.6,High,255,127,14,190,2026-01-30
ASSET-00141,Public Realm Asset,43.631532,-79.358745,Downtown Yonge East,Ward 5,West District,Daily,60,1,81,Medium,72,52,2,43.6,Moderate,255,193,7,170,2026-03-05
ASSET-00142,Litter Bin,43.78827,-79.231507,Kensington Chinatown,Ward 18,North District,Weekly,39,61,73,Medium,41,70,1,56.1,High,255,127,14,190,2026-02-15
ASSET-00143,Public Realm Asset,43.642902,-79.564539,Etobicoke Centre,Ward 24,North District,Weekly,81,26,75,Medium,68,27,0,52.5,Moderate,255,193,7,170,2026-03-30
ASSET-00144,Container,43.605032,-79.474966,Scarborough Village,Ward 9,West District,2x weekly,66,27,95,Low,75,11,3,39.6,Moderate,255,193,7,170,2026-04-15
ASSET-00145,Recycling Bin,43.793775,-79.336703,Danforth East York,Ward 4,East District,On demand,92,42,91,Low,67,0,1,48.6,Moderate,255,193,7,170,2026-04-26
ASSET-00146,Park Waste Bin,43.700371,-79.331347,Kensington Chinatown,Ward 4,South District,Daily,63,61,65,Medium,46,98,0,67.6,High,255,127,14,190,2026-01-18
ASSET-00147,Container,43.644919,-79.569182,Waterfront Communities,Ward 2,East District,3x weekly,52,69,100,Low,67,25,2,46.0,Moderate,255,193,7,170,2026-04-01
ASSET-00148,Recycling Bin,43.599681,-79.611778,Downtown Yonge East,Ward 25,North District,On demand,33,17,56,Low,64,15,3,33.3,Low,44,160,44,160,2026-04-11
ASSET-00149,Park Waste Bin,43.640198,-79.183018,Annex,Ward 20,West District,2x weekly,61,43,100,Low,63,7,3,41.1,Moderate,255,193,7,170,2026-04-19
ASSET-00150,Park Waste Bin,43.731085,-79.543164,Annex,Ward 4,West District,3x weekly,82,33,73,Low,65,70,0,52.8,Moderate,255,193,7,170,2026-02-15
ASSET-00151,Container,43.643054,-79.538797,Danforth East York,Ward 1,North District,2x weekly,65,48,78,Low,52,138,0,55.5,High,255,127,14,190,2025-12-09
ASSET-00152,Container,43.603304,-79.174213,Downtown Yonge East,Ward 24,West District,Weekly,48,25,63,Low,59,90,0,42.9,Moderate,255,193,7,170,2026-01-26
ASSET-00153,Container,43.777642,-79.516757,Etobicoke Centre,Ward 4,South District,On demand,91,25,59,Medium,55,62,3,69.3,High,255,127,14,190,2026-02-23
ASSET-00154,Container,43.611042,-79.216368,High Park North,Ward 15,West District,Daily,66,4,100,Low,71,113,1,40.3,Moderate,255,193,7,170,2026-01-03
ASSET-00155,Public Realm Asset,43.740706,-79.366606,York University Heights,Ward 4,South District,Weekly,49,29,78,Medium,63,57,3,51.4,Moderate,255,193,7,170,2026-02-28
ASSET-00156,Container,43.756387,-79.391897,Annex,Ward 3,North District,2x weekly,58,20,50,Low,52,17,0,38.4,Moderate,255,193,7,170,2026-04-09
ASSET-00157,Container,43.700535,-79.347492,Flemingdon Park,Ward 11,South District,On demand,51,42,73,High,63,90,2,69.1,High,255,127,14,190,2026-01-26
ASSET-00158,Container,43.651417,-79.21583,Etobicoke Centre,Ward 14,West District,Daily,51,60,85,High,58,115,0,70.8,High,255,127,14,190,2026-01-01
ASSET-00159,Public Realm Asset,43.750418,-79.307135,Agincourt South,Ward 8,South District,2x weekly,74,62,87,High,50,64,2,77.1,Critical,214,39,40,210,2026-02-21
ASSET-00160,Litter Bin,43.667077,-79.277986,Danforth East York,Ward 14,East District,2x weekly,91,52,71,Medium,53,50,1,69.5,High,255,127,14,190,2026-03-07
