request_id,category,status,priority,latitude,longitude,neighbourhood,ward,service_district,created_date,days_open
SR-000021,Missed Collection,Closed,High,43.737303,-79.475485,Etobicoke Centre,Ward 24,East District,2025-12-05,0
SR-000022,Missed Collection,Closed,Medium,43.810333,-79.604625,Etobicoke Centre,Ward 22,East District,2026-01-26,0
SR-000023,Overflowing Litter Bin,Open,High,43.723352,-79.543408,Waterfront Communities,Ward 11,South District,2025-11-17,35
SR-000024,Public Realm Cleanliness,Open,Urgent,43.753811,-79.53909,Annex,Ward 20,West District,2026-02-07,21
SR-000025,Missed Collection,Closed,High,43.644138,-79.392589,Scarborough Village,Ward 3,South District,2026-02-25,0
SR-000026,Damaged Bin,In Progress,High,43.800412,-79.522611,Kensington Chinatown,Ward 17,East District,2026-03-13,8
SR-000027,Missed Collection,In Progress,Medium,43.623175,-79.270871,Downtown Yonge East,Ward 15,West District,2025-12-24,33
SR-000028,Overflowing Litter Bin,Open,High,43.705142,-79.200579,Agincourt South,Ward 24,East District,2026-02-02,10
SR-000029,Public Realm Cleanliness,Open,Medium,43.623721,-79.322873,Kensington Chinatown,Ward 24,West District,2025-12-30,25
SR-000030,Public Realm Cleanliness,Closed,Low,43.643562,-79.54789,Waterfront Communities,Ward 10,West District,2025-11-02,0
SR-000031,Missed Collection,Closed,High,43.747189,-79.346905,Agincourt South,Ward 2,West District,2025-12-14,0
SR-000032,Illegal Dumping,Closed,Low,43.76361,-79.477647,Etobicoke Centre,Ward 25,East District,2025-11-14,0
SR-000033,Illegal Dumping,Open,Medium,43.693033,-79.433483,Kensington Chinatown,Ward 10,East District,2025-12-11,21
SR-000034,Missed Collection,Closed,High,43.816341,-79.485565,Annex,Ward 6,East District,2026-03-28,0
SR-000035,Public Realm Cleanliness,Open,Low,43.657808,-79.456908,Kensington Chinatown,Ward 18,East District,2025-12-07,21
SR-000036,Overflowing Litter Bin,In Progress,High,43.719857,-79.503932,Etobicoke Centre,Ward 8,North District,2026-04-08,20
SR-000037,Illegal Dumping,Closed,Urgent,43.800517,-79.497785,Waterfront Communities,Ward 5,West District,2025-12-27,0
SR-000038,Missed Collection,Closed,Low,43.796038,-79.572401,Scarborough Village,Ward 2,West District,2026-01-07,0
SR-000039,Overflowing Litter Bin,Closed,Urgent,43.741009,-79.202787,Etobicoke Centre,Ward 12,East District,2026-01-31,0
SR-000040,Public Realm Cleanliness,Open,Low,43.628812,-79.17457,Agincourt South,Ward 19,North District,2026-04-03,45
SR-000041,Missed Collection,Closed,Urgent,43.694163,-79.184971,High Park North,Ward 22,South District,2025-12-27,0
SR-000042,Overflowing Litter Bin,Open,Medium,43.745669,-79.48127,Etobicoke Centre,Ward 9,East District,2026-01-16,12
SR-000043,Illegal Dumping,Closed,High,43.63331,-79.480282,Agincourt South,Ward 16,West District,2026-04-10,0
SR-000044,Missed Collection,Closed,High,43.611394,-79.553821,Agincourt South,Ward 15,North District,2026-02-13,0
SR-000045,Public Realm Cleanliness,In Progress,Medium,43.614072,-79.425446,North York Centre,Ward 4,South District,2026-03-30,21
SR-000046,Missed Collection,Closed,High,43.772983,-79.554964,North York Centre,Ward 15,South District,2025-11-26,0
SR-000047,Overflowing Litter Bin,Closed,Medium,43.619974,-79.324023,North York Centre,Ward 6,South District,2026-01-18,0
SR-000048,Illegal Dumping,Open,Medium,43.635352,-79.575099,Flemingdon Park,Ward 19,South District,2026-01-05,37
SR-000049,Public Realm Cleanliness,In Progress,Medium,43.628375,-79.195084,Annex,Ward 22,West District,2025-12-01,32
SR-000050,Public Realm Cleanliness,Open,Urgent,43.778938,-79.45713,Danforth East York,Ward 18,West District,2026-01-03,12
SR-000051,Damaged Bin,In Progress,Low,43.740839,-79.372853,Etobicoke Centre,Ward 4,South District,2026-02-02,32
SR-000052,Missed Collection,Closed,Low,43.745739,-79.305971,Kensington Chinatown,Ward 5,West District,2026-03-20,0
SR-000053,Overflowing Litter Bin,Closed,Urgent,43.734609,-79.497593,North York Centre,Ward 10,South District,2025-11-20,0
SR-000054,Damaged Bin,Closed,Medium,43.598971,-79.410439,Kensington Chinatown,Ward 22,East District,2026-02-09,0
SR-000055,Illegal Dumping,Closed,Urgent,43.794924,-79.358031,Flemingdon Park,Ward 12,West District,2025-11-28,0
SR-000056,Public Realm Cleanliness,Open,Urgent,43.78145,-79.163853,Annex,Ward 10,West District,2026-01-22,36
SR-000057,Missed Collection,Open,High,43.627632,-79.301782,Downtown Yonge East,Ward 10,West District,2026-02-25,28
SR-000058,Public Realm Cleanliness,Closed,Urgent,43.745088,-79.16922,York University Heights,Ward 11,South District,2026-01-13,0
SR-000059,Damaged Bin,Closed,Medium,43.816688,-79.304128,York University Heights,Ward 6,South District,2026-03-22,0
SR-000060,Public Realm Cleanliness,Open,Urgent,43.646031,-79.252664,Danforth East York,Ward 14,North District,2026-02-12,43
SR-000061,Overflowing Litter Bin,Open,Low,43.614617,-79.260878,Downtown Yonge East,Ward 21,West District,2026-03-21,32
SR-000062,Damaged Bin,Closed,Medium,43.799345,-79.443897,Downtown Yonge East,Ward 5,South District,2025-12-31,0
SR-000063,Public Realm Cleanliness,Closed,Urgent,43.735046,-79.422134,Etobicoke Centre,Ward 6,South District,2025-12-17,0
SR-000064,Public Realm Cleanliness,Closed,Urgent,43.690686,-79.477229,Scarborough Village,Ward 12,North District,2026-03-10,0
SR-000065,Public Realm Cleanliness,Closed,Low,43.76529,-79.189359,Etobicoke Centre,Ward 16,North District,2025-12-19,0
SR-000066,Damaged Bin,In Progress,High,43.806373,-79.539601,Waterfront Communities,Ward 2,South District,2025-10-28,24
SR-000067,Public Realm Cleanliness,Open,Urgent,43.791191,-79.280782,Flemingdon Park,Ward 3,North District,2025-12-13,18
SR-000068,Public Realm Cleanliness,Closed,Low,43.648153,-79.589049,North York Centre,Ward 20,West District,2026-02-23,0
SR-000069,Missed Collection,Closed,High,43.651639,-79.200384,Etobicoke Centre,Ward 2,East District,2025-12-11,0
SR-000070,Damaged Bin,Open,Urgent,43.735631,-79.288315,North York Centre,Ward 16,East District,2026-01-09,23
SR-000071,Illegal Dumping,In Progress,Medium,43.649145,-79.289081,Waterfront Communities,Ward 23,East District,2025-12-03,17
SR-000072,Damaged Bin,Open,Medium,43.596468,-79.447352,Etobicoke Centre,Ward 2,East District,2025-11-18,2
SR-000073,Damaged Bin,In Progress,Low,43.734153,-79.552796,Annex,Ward 17,West District,2026-02-14,17
SR-000074,Public Realm Cleanliness,Open,High,43.779291,-79.511886,High Park North,Ward 9,West District,2026-03-29,39
SR-000075,Public Realm Cleanliness,Open,Medium,43.740025,-79.433609,York University Heights,Ward 15,East District,2026-03-13,17
SR-000076,Overflowing Litter Bin,Closed,Urgent,43.72709,-79.570573,Annex,Ward 17,West District,2026-01-29,0
SR-000077,Overflowing Litter Bin,Open,Medium,43.59389,-79.2016,Agincourt South,Ward 25,South District,2026-01-18,16
SR-000078,Damaged Bin,Closed,Medium,43.652015,-79.242949,Kensington Chinatown,Ward 19,East District,2026-04-13,0
SR-000079,Illegal Dumping,Closed,Low,43.819851,-79.522742,Waterfront Communities,Ward 6,South District,2026-01-14,0
SR-000080,Illegal Dumping,Closed,Urgent,43.650989,-79.315084,Flemingdon Park,Ward 25,North District,2026-01-19,0
SR-000081,Damaged Bin,Closed,Urgent,43.812053,-79.198725,High Park North,Ward 5,South District,2026-04-23,0
SR-000082,Damaged Bin,In Progress,Urgent,43.705661,-79.254249,York University Heights,Ward 11,West District,2026-04-02,35
SR-000083,Illegal Dumping,Closed,Urgent,43.621222,-79.170378,Etobicoke Centre,Ward 21,East District,2026-01-31,0
SR-000084,Illegal Dumping,In Progress,Low,43.811801,-79.544685,High Park North,Ward 21,South District,2025-12-29,44
SR-000085,Overflowing Litter Bin,Closed,Medium,43.658867,-79.573929,North York Centre,Ward 11,North District,2026-02-05,0
SR-000086,Missed Collection,Closed,Low,43.652495,-79.24466,Downtown Yonge East,Ward 1,South District,2026-04-01,0
SR-000087,Missed Collection,Closed,Urgent,43.677013,-79.579337,Danforth East York,Ward 8,East District,2026-02-21,0
SR-000088,Missed Collection,Open,Low,43.668712,-79.168564,Etobicoke Centre,Ward 3,West District,2025-11-25,43
SR-000089,Public Realm Cleanliness,Open,Low,43.734827,-79.428566,Flemingdon Park,Ward 4,West District,2025-11-23,9
SR-000090,Public Realm Cleanliness,Closed,Medium,43.628304,-79.166359,Downtown Yonge East,Ward 23,North District,2026-02-21,0
SR-000091,Damaged Bin,In Progress,Low,43.778795,-79.49052,York University Heights,Ward 15,East District,2026-01-07,45
SR-000092,Illegal Dumping,Closed,High,43.606116,-79.593952,Annex,Ward 25,West District,2026-02-15,0
SR-000093,Damaged Bin,Open,Urgent,43.617687,-79.352846,Danforth East York,Ward 2,East District,2026-02-18,12
SR-000094,Missed Collection,Closed,Urgent,43.803616,-79.391498,Kensington Chinatown,Ward 20,South District,2026-03-12,0
SR-000095,Damaged Bin,Closed,Low,43.783877,-79.414892,Annex,Ward 18,South District,2026-03-02,0
SR-000096,Missed Collection,Closed,Urgent,43.752974,-79.283339,Flemingdon Park,Ward 9,West District,2026-04-18,0
SR-000097,Missed Collection,Open,High,43.630012,-79.453841,Agincourt South,Ward 1,South District,2026-03-19,42
SR-000098,Missed Collection,Closed,Low,43.736579,-79.58748,York University Heights,Ward 13,East District,2026-03-19,0
SR-000099,Illegal Dumping,Closed,Urgent,43.673154,-79.373992,Etobicoke Centre,Ward 1,South District,2025-12-25,0
SR-000100,Damaged Bin,Closed,Low,43.819132,-79.401715,North York Centre,Ward 8,West District,2026-01-18,0
SR-000101,Damaged Bin,Closed,Low,43.777693,-79.421249,Etobicoke Centre,Ward 18,East District,2026-01-31,0
SR-000102,Illegal Dumping,Closed,Urgent,43.77317,-79.346109,Waterfront Communities,Ward 21,West District,2026-01-23,0
SR-000103,Illegal Dumping,Closed,Low,43.793917,-79.430966,Agincourt South,Ward 25,East District,2025-11-12,0
SR-000104,Overflowing Litter Bin,Open,Low,43.72899,-79.330191,Scarborough Village,Ward 22,North District,2026-02-09,45
SR-000105,Missed Collection,Closed,High,43.685998,-79.553616,Agincourt South,Ward 3,South District,2026-03-09,0
SR-000106,Missed Collection,Open,Medium,43.611519,-79.612331,Waterfront Communities,Ward 24,North District,2025-12-22,25
SR-000107,Public Realm Cleanliness,Open,High,43.790913,-79.511222,Agincourt South,Ward 18,South District,2026-04-22,3
SR-000108,Missed Collection,In Progress,High,43.638647,-79.281424,Flemingdon Park,Ward 2,South District,2026-03-27,14
SR-000109,Public Realm Cleanliness,Closed,Urgent,43.663604,-79.387219,York University Heights,Ward 18,North District,2025-11-29,0
SR-000110,Missed Collection,Open,Low,43.627378,-79.178517,Flemingdon Park,Ward 5,South District,2025-11-10,2
SR-000111,Public Realm Cleanliness,Closed,Low,43.785864,-79.222657,Kensington Chinatown,Ward 23,North District,2026-04-23,0
SR-000112,Missed Collection,Open,High,43.683558,-79.269314,Downtown Yonge East,Ward 15,North District,2025-11-26,5
SR-000113,Missed Collection,Open,Urgent,43.623092,-79.616035,Etobicoke Centre,Ward 20,North District,2026-04-10,13
SR-000114,Illegal Dumping,Closed,Urgent,43.594594,-79.350163,Danforth East York,Ward 4,North District,2026-02-03,0
SR-000115,Missed Collection,Open,Medium,43.694741,-79.381713,Danforth East York,Ward 3,West District,2026-02-15,10
SR-000116,Overflowing Litter Bin,Closed,High,43.591717,-79.425564,North York Centre,Ward 6,South District,2026-02-23,0
SR-000117,Missed Collection,Closed,Medium,43.755156,-79.416361,Downtown Yonge East,Ward 21,South District,2026-03-17,0
SR-000118,Damaged Bin,Open,Low,43.75841,-79.512811,Waterfront Communities,Ward 1,North District,2026-04-04,42
SR-000119,Illegal Dumping,Closed,Urgent,43.777023,-79.349322,Flemingdon Park,Ward 25,South District,2025-10-31,0
SR-000120,Overflowing Litter Bin,Open,Medium,43.638476,-79.511109,York University Heights,Ward 9,South District,2026-01-11,16
SR-000121,Public Realm Cleanliness,Open,Low,43.734447,-79.238228,Etobicoke Centre,Ward 6,South District,2025-11-21,6
SR-000122,Illegal Dumping,Closed,High,43.685594,-79.501182,Scarborough Village,Ward 1,North District,2026-03-08,0
SR-000123,Public Realm Cleanliness,Open,Low,43.789413,-79.312137,Etobicoke Centre,Ward 12,North District,2025-12-29,41
SR-000124,Overflowing Litter Bin,Closed,High,43.69306,-79.395566,Waterfront Communities,Ward 7,West District,2026-03-19,0
SR-000125,Damaged Bin,Closed,Urgent,43.636979,-79.331671,Annex,Ward 6,West District,2026-04-13,0
SR-000126,Illegal Dumping,Closed,High,43.672511,-79.162003,Kensington Chinatown,Ward 14,East District,2026-01-31,0
SR-000127,Damaged Bin,Closed,Low,43.700442,-79.396493,Downtown Yonge East,Ward 24,West District,2025-12-10,0
SR-000128,Overflowing Litter Bin,Open,Low,43.720146,-79.198292,Agincourt South,Ward 17,West District,2026-04-08,16
SR-000129,Damaged Bin,Closed,High,43.774188,-79.41248,Scarborough Village,Ward 7,East District,2026-02-27,0
SR-000130,Illegal Dumping,Open,Medium,43.755301,-79.350332,Downtown Yonge East,Ward 8,South District,2026-03-06,25
SR-000131,Missed Collection,Open,Urgent,43.703244,-79.531535,Etobicoke Centre,Ward 16,West District,2026-01-05,10
SR-000132,Public Realm Cleanliness,Open,Urgent,43.696705,-79.506923,Annex,Ward 13,East District,2026-03-23,30
SR-000133,Overflowing Litter Bin,Closed,High,43.800414,-79.465713,High Park North,Ward 7,East District,2026-03-25,0
SR-000134,Public Realm Cleanliness,Open,Low,43.809021,-79.374795,High Park North,Ward 5,West District,2025-12-28,30
SR-000135,Overflowing Litter Bin,Closed,High,43.735255,-79.370247,Kensington Chinatown,Ward 10,North District,2025-11-14,0
SR-000136,Overflowing Litter Bin,Closed,Medium,43.619758,-79.447122,Downtown Yonge East,Ward 14,South District,2026-03-02,0
SR-000137,Damaged Bin,Closed,Urgent,43.612804,-79.333441,High Park North,Ward 1,South District,2026-02-22,0
SR-000138,Illegal Dumping,Open,Urgent,43.692781,-79.262127,Etobicoke Centre,Ward 8,North District,2025-12-01,1
SR-000139,Missed Collection,Closed,Low,43.640708,-79.5443,Agincourt South,Ward 24,West District,2026-01-08,0
SR-000140,Damaged Bin,Closed,Urgent,43.683456,-79.193771,Flemingdon Park,Ward 4,South District,2025-12-21,0
SR-000141,Missed Collection,Open,Low,43.753397,-79.427295,Flemingdon Park,Ward 24,South District,2026-03-02,9
SR-000142,Illegal Dumping,In Progress,Medium,43.708973,-79.581262,York University Heights,Ward 3,West District,2025-12-25,43
SR-000143,Overflowing Litter Bin,In Progress,Urgent,43.816452,-79.313453,Etobicoke Centre,Ward 24,West District,2025-12-31,30
SR-000144,Damaged Bin,Open,Medium,43.655643,-79.350528,Danforth East York,Ward 21,South District,2025-10-28,41
SR-000145,Missed Collection,Open,Urgent,43.615181,-79.175715,Flemingdon Park,Ward 11,West District,2026-02-10,28
SR-000146,Public Realm Cleanliness,In Progress,Medium,43.630201,-79.321906,York University Heights,Ward 3,East District,2026-04-12,33
SR-000147,Illegal Dumping,Closed,Low,43.646455,-79.289922,Downtown Yonge East,Ward 13,East District,2025-12-28,0
SR-000148,Missed Collection,Closed,High,43.768669,-79.310227,Danforth East York,Ward 6,West District,2025-12-04,0
SR-000149,Overflowing Litter Bin,Closed,Medium,43.731335,-79.209464,Danforth East York,Ward 8,West District,2025-11-11,0
SR-000150,Public Realm Cleanliness,Closed,Medium,43.608084,-79.467779,Flemingdon Park,Ward 25,North District,2026-02-03,0
SR-000151,Illegal Dumping,In Progress,Urgent,43.647106,-79.165514,High Park North,Ward 2,West District,2026-01-21,23
SR-000152,Damaged Bin,Closed,Low,43.67956,-79.282998,Agincourt South,Ward 23,East District,2026-01-01,0
SR-000153,Illegal Dumping,Closed,Low,43.747487,-79.522443,Kensington Chinatown,Ward 15,West District,2026-04-06,0
SR-000154,Overflowing Litter Bin,Closed,High,43.644969,-79.490609,Downtown Yonge East,Ward 4,North District,2026-02-15,0
SR-000155,Overflowing Litter Bin,Open,Urgent,43.684559,-79.51221,Annex,Ward 7,West District,2026-02-10,27
SR-000156,Public Realm Cleanliness,Closed,Medium,43.59452,-79.215479,Agincourt South,Ward 12,South District,2026-01-03,0
SR-000157,Missed Collection,Closed,High,43.81209,-79.462878,Kensington Chinatown,Ward 3,West District,2026-02-26,0
SR-000158,Illegal Dumping,Closed,Urgent,43.667857,-79.616738,Etobicoke Centre,Ward 11,East District,2025-12-23,0
SR-000159,Public Realm Cleanliness,Closed,Urgent,43.746458,-79.240298,Agincourt South,Ward 10,North District,2026-02-07,0
SR-000160,Illegal Dumping,Open,Medium,43.62372,-79.546553,Agincourt South,Ward 12,East District,2026-04-14,10
SR-000161,Illegal Dumping,In Progress,Urgent,43.771719,-79.336506,Annex,Ward 20,North District,2025-12-10,19
SR-000162,Overflowing Litter Bin,Open,Medium,43.600318,-79.333628,Annex,Ward 8,West District,2026-04-16,21
SR-000163,Overflowing Litter Bin,Closed,Urgent,43.661051,-79.450386,High Park North,Ward 12,North District,2026-03-05,0
SR-000164,Missed Collection,Closed,High,43.767038,-79.24697,Danforth East York,Ward 5,East District,2026-01-02,0
SR-000165,Overflowing Litter Bin,Closed,High,43.682082,-79.18431,Downtown Yonge East,Ward 1,South District,2025-12-20,0
SR-000166,Damaged Bin,Open,High,43.683486,-79.264955,Annex,Ward 1,East District,2025-11-12,19
SR-000167,Illegal Dumping,Closed,Medium,43.701292,-79.207135,Etobicoke Centre,Ward 24,South District,2026-01-30,0
SR-000168,Missed Collection,Closed,Urgent,43.798785,-79.579788,Waterfront Communities,Ward 5,West District,2026-02-07,0
SR-000169,Damaged Bin,Open,Medium,43.805393,-79.240254,Agincourt South,Ward 12,West District,2026-02-02,4
SR-000170,Overflowing Litter Bin,Closed,Medium,43.772001,-79.527581,High Park North,Ward 7,West District,2026-04-05,0
SR-000171,Damaged Bin,Closed,Low,43.775177,-79.228939,North York Centre,Ward 13,North District,2025-12-22,0
SR-000172,Public Realm Cleanliness,In Progress,Low,43.656505,-79.18196,York University Heights,Ward 12,South District,2026-03-20,28
SR-000173,Damaged Bin,In Progress,High,43.601468,-79.551042,Waterfront Communities,Ward 10,East District,2026-01-27,20
SR-000174,Public Realm Cleanliness,Closed,Low,43.713644,-79.355135,Kensington Chinatown,Ward 24,South District,2026-01-10,0
SR-000175,Illegal Dumping,Closed,Medium,43.738385,-79.612194,Flemingdon Park,Ward 14,South District,2026-03-22,0
SR-000176,Public Realm Cleanliness,Closed,Low,43.810884,-79.599489,Annex,Ward 7,East District,2025-12-26,0
SR-000177,Illegal Dumping,Closed,Low,43.622904,-79.613553,Etobicoke Centre,Ward 25,South District,2026-04-04,0
SR-000178,Damaged Bin,Open,High,43.720377,-79.191157,Scarborough Village,Ward 6,South District,2025-12-02,9
SR-000179,Overflowing Litter Bin,Open,Urgent,43.743168,-79.241578,High Park North,Ward 18,South District,2026-04-16,20
SR-000180,Illegal Dumping,Closed,Urgent,43.593055,-79.370673,North York Centre,Ward 24,South District,2026-02-28,0
SR-000181,Missed Collection,Open,Medium,43.695699,-79.390475,High Park North,Ward 10,South District,2026-03-26,42
SR-000182,Illegal Dumping,Closed,Urgent,43.606609,-79.30516,Annex,Ward 16,North District,2026-04-19,0
SR-000183,Illegal Dumping,Open,Urgent,43.705741,-79.268032,Downtown Yonge East,Ward 20,East District,2025-11-29,31
SR-000184,Damaged Bin,Closed,High,43.701617,-79.551284,York University Heights,Ward 22,South District,2025-10-31,0
SR-000185,Illegal Dumping,Open,Low,43.739099,-79.540702,High Park North,Ward 6,West District,2026-03-20,21
SR-000186,Overflowing Litter Bin,Closed,High,43.790651,-79.337967,Annex,Ward 2,East District,2026-01-24,0
SR-000187,Illegal Dumping,Closed,Low,43.626157,-79.177324,High Park North,Ward 10,West District,2025-12-16,0
SR-000188,Overflowing Litter Bin,Open,Low,43.709224,-79.586467,Etobicoke Centre,Ward 25,North District,2025-12-08,21
SR-000189,Illegal Dumping,In Progress,High,43.734172,-79.503529,York University Heights,Ward 23,East District,2026-04-02,35
SR-000190,Illegal Dumping,Closed,Medium,43.774849,-79.243802,Waterfront Communities,Ward 5,East District,2026-01-21,0
SR-000191,Damaged Bin,Closed,High,43.815158,-79.38914,Annex,Ward 4,North District,2026-03-18,0
SR-000192,Overflowing Litter Bin,Closed,Medium,43.69464,-79.273401,North York Centre,Ward 20,West District,2026-01-10,0
SR-000193,Missed Collection,Closed,Low,43.620468,-79.368419,Annex,Ward 1,South District,2026-01-27,0
SR-000194,Illegal Dumping,In Progress,Medium,43.715637,-79.578842,Agincourt South,Ward 20,East District,2026-03-13,20
SR-000195,Missed Collection,Open,Medium,43.686136,-79.227489,Annex,Ward 23,North District,2025-11-01,15
SR-000196,Overflowing Litter Bin,In Progress,Medium,43.786915,-79.574351,Annex,Ward 3,South District,2025-11-01,8
SR-000197,Missed Collection,Open,Urgent,43.610866,-79.49916,Scarborough Village,Ward 2,North District,2026-03-30,3
SR-000198,Public Realm Cleanliness,Closed,Low,43.791196,-79.560705,Agincourt South,Ward 4,East District,2026-04-15,0
SR-000199,Illegal Dumping,Open,Low,43.755599,-79.573464,Downtown Yonge East,Ward 4,North District,2025-11-27,13
SR-000200,Illegal Dumping,Open,Low,43.733322,-79.456209,Downtown Yonge East,Ward 5,East District,2025-11-29,23
SR-000201,Overflowing Litter Bin,In Progress,Medium,43.77145,-79.512502,North York Centre,Ward 19,West District,2026-04-01,38
SR-000202,Public Realm Cleanliness,Open,Medium,43.737016,-79.511586,Flemingdon Park,Ward 7,East District,2026-03-14,35
SR-000203,Missed Collection,Open,Medium,43.754142,-79.218108,North York Centre,Ward 23,South District,2026-01-23,45
SR-000204,Overflowing Litter Bin,Closed,Urgent,43.619164,-79.221366,York University Heights,Ward 4,North District,2026-01-26,0
SR-000205,Damaged Bin,Closed,Medium,43.726522,-79.561529,North York Centre,Ward 8,South District,2026-03-29,0
SR-000206,Missed Collection,In Progress,Urgent,43.688335,-79.546004,Downtown Yonge East,Ward 17,North District,2025-12-21,24
SR-000207,Illegal Dumping,Closed,Low,43.75108,-79.270921,Downtown Yonge East,Ward 11,South District,2026-03-28,0
SR-000208,Illegal Dumping,Closed,Urgent,43.614333,-79.387176,Etobicoke Centre,Ward 24,East District,2025-11-02,0
SR-000209,Overflowing Litter Bin,Closed,Urgent,43.777364,-79.189365,High Park North,Ward 14,North District,2026-04-09,0
SR-000210,Illegal Dumping,Closed,Medium,43.708109,-79.182872,Waterfront Communities,Ward 22,South District,2025-11-05,0
SR-000211,Damaged Bin,Open,Urgent,43.713208,-79.438672,North York Centre,Ward 22,West District,2026-03-27,10
SR-000212,Damaged Bin,Closed,Low,43.785087,-79.393228,Flemingdon Park,Ward 6,West District,2026-01-23,0
SR-000213,Illegal Dumping,Open,Medium,43.698538,-79.394456,Etobicoke Centre,Ward 13,West District,2026-02-26,28
SR-000214,Damaged Bin,Closed,High,43.784761,-79.237307,Flemingdon Park,Ward 25,East District,2025-11-13,0
SR-000215,Illegal Dumping,Closed,Urgent,43.68281,-79.466682,York University Heights,Ward 20,South District,2025-12-23,0
SR-000216,Illegal Dumping,Closed,Medium,43.703143,-79.356525,Agincourt South,Ward 4,West District,2026-02-21,0
SR-000217,Damaged Bin,Closed,Medium,43.644818,-79.254781,York University Heights,Ward 5,West District,2026-04-01,0
SR-000218,Missed Collection,Closed,Low,43.701891,-79.466339,Agincourt South,Ward 22,West District,2026-03-12,0
SR-000219,Public Realm Cleanliness,Closed,High,43.614569,-79.510131,Annex,Ward 10,West District,2026-04-07,0
SR-000220,Public Realm Cleanliness,Closed,Urgent,43.808335,-79.479654,Agincourt South,Ward 7,East District,2025-11-08,0
SR-000221,Damaged Bin,Closed,High,43.628838,-79.408091,North York Centre,Ward 11,West District,2026-04-18,0
SR-000222,Missed Collection,Closed,Urgent,43.66063,-79.603827,Agincourt South,Ward 11,South District,2026-01-03,0
SR-000223,Missed Collection,Closed,Low,43.664323,-79.36971,Annex,Ward 18,East District,2025-10-28,0
SR-000224,Damaged Bin,Open,Urgent,43.716894,-79.455983,Annex,Ward 10,South District,2025-12-23,8
SR-000225,Damaged Bin,Closed,Urgent,43.69288,-79.175862,Agincourt South,Ward 18,North District,2025-12-18,0
SR-000226,Damaged Bin,Open,High,43.67679,-79.501216,Agincourt South,Ward 19,South District,2025-11-20,44
SR-000227,Illegal Dumping,In Progress,High,43.645997,-79.409428,Waterfront Communities,Ward 1,West District,2026-03-25,24
SR-000228,Public Realm Cleanliness,In Progress,Low,43.76469,-79.525245,York University Heights,Ward 11,South District,2026-04-02,28
SR-000229,Illegal Dumping,In Progress,Urgent,43.753138,-79.610271,Danforth East York,Ward 2,North District,2026-02-22,16
SR-000230,Illegal Dumping,Closed,Low,43.686355,-79.263102,Flemingdon Park,Ward 3,East District,2026-03-28,0
SR-000231,Overflowing Litter Bin,In Progress,Low,43.667909,-79.360681,North York Centre,Ward 11,West District,2025-12-30,43
SR-000232,Public Realm Cleanliness,Closed,Urgent,43.637145,-79.278682,High Park North,Ward 1,South District,2025-11-27,0
SR-000233,Illegal Dumping,Open,Urgent,43.602024,-79.22783,Etobicoke Centre,Ward 13,East District,2025-12-01,7
SR-000234,Missed Collection,Closed,Medium,43.635585,-79.217777,Danforth East York,Ward 16,East District,2026-03-15,0
